feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,targetfeature
20,RL,70,11200,Pave,Reg,Lvl,AllPub,Gtl,5,5,1965,0,TA,TA,906,134,1040,Ex,Y,1040,1,0,1,0,3,1,TA,5,Typ,0,NA,1965,1,384,Y,0,0,0,0,0,0,0,2,2008,NA,NA,NA,129500
60,RL,85,11924,Pave,IR1,Lvl,AllPub,Gtl,9,5,2005,286,Ex,TA,998,177,1175,Ex,Y,2324,1,0,3,0,4,1,Ex,11,Typ,2,Gd,2005,3,736,Y,147,21,0,0,0,0,0,7,2006,NA,NA,NA,345000
20,RL,NA,12968,Pave,IR2,Lvl,AllPub,Gtl,5,6,1962,0,TA,TA,737,175,912,TA,Y,912,1,0,1,0,2,1,TA,4,Typ,0,NA,1962,1,352,Y,140,0,0,0,176,0,0,9,2008,NA,NA,NA,144000
20,RL,91,10652,Pave,IR1,Lvl,AllPub,Gtl,7,5,2006,306,Gd,TA,0,1494,1494,Ex,Y,1494,0,0,2,0,3,1,Gd,7,Typ,1,Gd,2006,3,840,Y,160,33,0,0,0,0,0,8,2007,NA,NA,NA,279500
20,RL,NA,10920,Pave,IR1,Lvl,AllPub,Gtl,6,5,1960,212,TA,TA,733,520,1253,TA,Y,1253,1,0,1,1,2,1,TA,5,Typ,1,Fa,1960,1,352,Y,0,213,176,0,0,0,0,5,2008,NA,GdWo,NA,157000
45,RM,51,6120,Pave,Reg,Lvl,AllPub,Gtl,7,8,1929,0,TA,TA,0,832,832,Ex,Y,854,0,0,1,0,2,1,TA,5,Typ,0,NA,1991,2,576,Y,48,112,0,0,0,0,0,7,2007,NA,GdPrv,NA,132000
20,RL,NA,11241,Pave,IR1,Lvl,AllPub,Gtl,6,7,1970,180,TA,TA,578,426,1004,Ex,Y,1004,1,0,1,0,2,1,TA,5,Typ,1,TA,1970,2,480,Y,0,0,0,0,0,0,700,3,2010,NA,NA,Shed,149000
90,RL,72,10791,Pave,Reg,Lvl,AllPub,Gtl,4,5,1967,0,TA,TA,0,0,0,TA,Y,1296,0,0,2,0,2,2,TA,6,Typ,0,NA,1967,2,516,Y,0,0,0,0,0,0,500,10,2006,NA,NA,Shed,90000
20,RL,66,13695,Pave,Reg,Lvl,AllPub,Gtl,5,5,2004,0,TA,TA,646,468,1114,Ex,Y,1114,1,0,1,1,3,1,Gd,6,Typ,0,NA,2004,2,576,Y,0,102,0,0,0,0,0,6,2008,NA,NA,NA,159000
20,RL,70,7560,Pave,Reg,Lvl,AllPub,Gtl,5,6,1958,0,TA,TA,504,525,1029,TA,Y,1339,0,0,1,0,3,1,TA,6,Min1,0,NA,1958,1,294,Y,0,0,0,0,0,0,0,5,2009,NA,MnPrv,NA,139000
60,RL,101,14215,Pave,IR1,Lvl,AllPub,Gtl,8,5,2005,380,Gd,TA,0,1158,1158,Ex,Y,2376,0,0,3,1,4,1,Gd,9,Typ,1,Gd,2005,3,853,Y,240,154,0,0,0,0,0,11,2006,NA,NA,NA,325300
45,RM,57,7449,Pave,Reg,Bnk,AllPub,Gtl,7,7,1930,0,TA,TA,0,637,637,Ex,Y,1108,0,0,1,0,3,1,Gd,6,Typ,1,Gd,1930,1,280,N,0,0,205,0,0,0,0,6,2007,NA,GdPrv,NA,139400
20,RL,75,9742,Pave,Reg,Lvl,AllPub,Gtl,8,5,2002,281,Gd,TA,0,1777,1777,Ex,Y,1795,0,0,2,0,3,1,Gd,7,Typ,1,Gd,2002,2,534,Y,171,159,0,0,0,0,0,9,2008,NA,NA,NA,230000
120,RM,44,4224,Pave,Reg,Lvl,AllPub,Gtl,5,7,1976,0,TA,TA,840,200,1040,TA,Y,1060,1,0,1,0,3,1,TA,6,Typ,1,TA,1976,2,572,Y,100,110,0,0,0,0,0,6,2007,NA,NA,NA,129900
20,RL,NA,8246,Pave,IR1,Lvl,AllPub,Gtl,5,8,1968,0,TA,Gd,188,204,1060,Ex,Y,1060,1,0,1,0,3,1,Gd,6,Typ,1,TA,1968,1,270,Y,406,90,0,0,0,0,0,5,2010,NA,MnPrv,NA,154000
20,RL,110,14230,Pave,Reg,Lvl,AllPub,Gtl,8,5,2007,640,Gd,TA,0,1566,1566,Ex,Y,1600,0,0,2,0,3,1,Gd,7,Typ,1,Gd,2007,3,890,Y,0,56,0,0,0,0,0,7,2009,NA,NA,NA,256300
20,RL,60,7200,Pave,Reg,Lvl,AllPub,Gtl,5,7,1951,0,TA,TA,234,180,900,TA,Y,900,0,1,1,0,3,1,Gd,5,Typ,0,NA,2005,2,576,Y,222,32,0,0,0,0,0,5,2010,NA,NA,NA,134800
20,RL,98,11478,Pave,Reg,Lvl,AllPub,Gtl,8,5,2007,200,Gd,TA,1218,486,1704,Ex,Y,1704,1,0,2,0,3,1,Gd,7,Typ,1,Gd,2008,3,772,Y,0,50,0,0,0,0,0,5,2010,NA,NA,NA,306000
20,RL,47,16321,Pave,IR1,Lvl,AllPub,Gtl,5,6,1957,0,TA,TA,1277,207,1484,TA,Y,1600,1,0,1,0,2,1,TA,6,Typ,2,Gd,1957,1,319,Y,288,258,0,0,0,0,0,12,2006,NA,NA,NA,207500
30,RM,60,6324,Pave,IR1,Lvl,AllPub,Gtl,4,6,1927,0,TA,TA,0,520,520,Fa,N,520,0,0,1,0,1,1,Fa,4,Typ,0,NA,1920,1,240,Y,49,0,87,0,0,0,0,5,2008,NA,NA,NA,68500
70,C (all),50,8500,Pave,Reg,Lvl,AllPub,Gtl,4,4,1920,0,TA,Fa,0,649,649,TA,N,1317,0,0,1,0,3,1,TA,6,Typ,0,NA,1920,1,250,N,0,54,172,0,0,0,0,7,2008,NA,MnPrv,NA,40000
20,RL,NA,8544,Pave,IR1,Lvl,AllPub,Gtl,5,6,1966,0,TA,TA,0,1228,1228,Gd,Y,1228,0,0,1,1,3,1,Gd,6,Typ,0,NA,1966,1,271,Y,0,65,0,0,0,0,0,6,2008,NA,MnPrv,NA,149350
20,RL,85,11049,Pave,Reg,Lvl,AllPub,Gtl,8,5,2007,0,Gd,TA,0,1234,1234,Ex,Y,1234,0,0,2,0,3,1,Gd,7,Typ,0,NA,2007,2,484,Y,0,30,0,0,0,0,0,1,2008,NA,NA,NA,179900
20,RL,70,10552,Pave,IR1,Lvl,AllPub,Gtl,5,5,1959,0,TA,TA,1018,380,1398,Gd,Y,1700,0,1,1,1,4,1,Gd,6,Typ,1,Gd,1959,2,447,Y,0,38,0,0,0,0,0,4,2010,NA,NA,NA,165500
120,RL,60,7313,Pave,Reg,Lvl,AllPub,Gtl,9,5,2005,246,Ex,TA,1153,408,1561,Ex,Y,1561,1,0,2,0,2,1,Ex,6,Typ,1,Gd,2005,2,556,Y,203,47,0,0,0,0,0,8,2007,NA,NA,NA,277500
60,RL,108,13418,Pave,Reg,Lvl,AllPub,Gtl,8,5,2004,132,Gd,TA,0,1117,1117,Ex,Y,2452,0,0,3,1,4,1,Gd,9,Typ,1,Gd,2004,3,691,Y,113,32,0,0,0,0,0,9,2006,NA,NA,NA,309000
20,RL,112,10859,Pave,Reg,Lvl,AllPub,Gtl,5,5,1994,0,TA,TA,0,1097,1097,Ex,Y,1097,0,0,1,1,3,1,TA,6,Typ,0,NA,1995,2,672,Y,392,64,0,0,0,0,0,6,2009,NA,NA,NA,145000
20,RL,74,8532,Pave,Reg,Lvl,AllPub,Gtl,5,6,1954,650,TA,TA,1213,84,1297,Gd,Y,1297,0,1,1,0,3,1,TA,5,Typ,1,TA,1954,2,498,Y,0,0,0,0,0,0,0,10,2009,NA,NA,NA,153000
20,RL,68,7922,Pave,Reg,Lvl,AllPub,Gtl,5,7,1953,0,TA,Gd,731,326,1057,TA,Y,1057,1,0,1,0,3,1,Gd,5,Typ,0,NA,1953,1,246,Y,0,52,0,0,0,0,0,1,2010,NA,NA,NA,109000
90,RL,65,6040,Pave,Reg,Lvl,AllPub,Gtl,4,5,1955,0,TA,TA,0,0,0,TA,N,1152,0,0,2,0,2,2,Fa,6,Typ,0,NA,NA,0,0,N,0,0,0,0,0,0,0,6,2008,NA,NA,NA,82000
20,RL,84,8658,Pave,Reg,Lvl,AllPub,Gtl,6,5,1965,101,TA,TA,643,445,1088,Ex,Y,1324,0,0,2,0,3,1,TA,6,Typ,1,TA,1965,2,440,Y,0,138,0,0,0,0,0,12,2006,NA,GdWo,NA,160000
20,RL,115,16905,Pave,Reg,Lvl,AllPub,Gtl,5,6,1959,0,TA,Gd,967,383,1350,Gd,Y,1328,0,1,1,1,2,1,TA,5,Typ,2,Gd,1959,1,308,P,0,104,0,0,0,0,0,7,2007,NA,NA,NA,170000
85,RL,NA,9180,Pave,IR1,Lvl,AllPub,Gtl,5,7,1983,0,TA,TA,747,0,840,Gd,Y,884,1,0,1,0,2,1,Gd,5,Typ,0,NA,1983,2,504,Y,240,0,0,0,0,0,0,12,2007,NA,MnPrv,NA,144000
20,RL,NA,9200,Pave,IR1,Lvl,AllPub,Gtl,5,6,1975,0,TA,TA,280,167,938,TA,Y,938,1,0,1,0,3,1,TA,5,Typ,0,NA,1977,1,308,Y,145,0,0,0,0,0,0,7,2008,NA,MnPrv,NA,130250
20,RL,70,7945,Pave,Reg,Lvl,AllPub,Gtl,5,6,1959,0,TA,TA,179,465,1150,Ex,Y,1150,1,0,1,0,3,1,TA,6,Typ,0,NA,1959,1,300,Y,0,0,0,0,0,0,0,5,2006,NA,NA,NA,141000
120,RL,61,7658,Pave,Reg,Lvl,AllPub,Gtl,9,5,2005,412,Ex,TA,456,1296,1752,Ex,Y,1752,1,0,2,0,2,1,Ex,6,Typ,1,Gd,2005,2,576,Y,196,82,0,0,0,0,0,2,2010,NA,NA,NA,319900
50,RL,48,12822,Pave,IR1,Lvl,AllPub,Gtl,7,5,2003,0,Gd,TA,1351,83,1434,Ex,Y,2149,1,0,1,1,1,1,Gd,6,Typ,1,Ex,2003,2,670,Y,168,43,0,0,198,0,0,8,2009,NA,NA,NA,239686
20,FV,84,11096,Pave,Reg,Lvl,AllPub,Gtl,8,5,2006,0,Gd,TA,24,1632,1656,Ex,Y,1656,0,0,2,0,3,1,Gd,7,Typ,0,NA,2006,3,826,Y,0,146,0,0,0,0,0,7,2007,NA,NA,NA,249700
190,RM,33,4456,Pave,Reg,Lvl,AllPub,Gtl,4,5,1920,0,TA,TA,0,736,736,Gd,Y,1452,0,0,2,0,2,3,TA,8,Typ,0,NA,NA,0,0,N,0,0,102,0,0,0,0,6,2009,NA,NA,NA,113000
20,RL,66,7742,Pave,Reg,Lvl,AllPub,Gtl,5,7,1966,0,TA,TA,763,192,955,Ex,Y,955,1,0,1,0,3,1,TA,6,Typ,0,NA,1966,1,386,Y,0,0,0,0,0,0,0,1,2007,NA,MnPrv,NA,127000
60,RL,NA,13869,Pave,IR2,Lvl,AllPub,Gtl,6,6,1997,0,TA,TA,182,612,794,Gd,Y,1470,0,1,2,0,3,1,TA,6,Typ,0,NA,1997,2,388,Y,0,75,0,0,0,0,0,7,2007,NA,NA,NA,177000
50,RM,52,6240,Pave,Reg,Lvl,AllPub,Gtl,6,6,1934,0,TA,TA,0,816,816,TA,Y,1176,0,0,1,0,3,1,TA,6,Typ,1,Gd,1985,2,528,Y,112,0,0,0,0,0,400,9,2006,NA,MnPrv,Shed,114500
90,RM,110,8472,Grvl,IR2,Bnk,AllPub,Mod,5,5,1963,0,Fa,TA,104,0,816,TA,N,816,1,0,1,0,2,1,TA,5,Typ,0,NA,1963,2,516,Y,106,0,0,0,0,0,0,5,2010,NA,NA,NA,110000
20,RL,68,50271,Pave,IR1,Low,AllPub,Gtl,9,5,1981,0,Gd,TA,1810,32,1842,Gd,Y,1842,2,0,0,1,0,1,Gd,5,Typ,1,Gd,1981,3,894,Y,857,72,0,0,0,0,0,11,2006,NA,NA,NA,385000
80,RL,60,7134,Pave,Reg,Bnk,AllPub,Mod,5,5,1955,0,TA,TA,384,0,384,TA,Y,1360,0,0,1,0,3,1,TA,6,Min1,1,TA,1962,2,572,Y,0,50,0,0,0,0,0,2,2007,NA,MnPrv,NA,130000
20,RL,100,10175,Pave,IR1,Lvl,AllPub,Gtl,6,5,1964,272,TA,TA,490,935,1425,Gd,Y,1425,0,0,2,0,3,1,TA,7,Typ,1,Gd,1964,2,576,Y,0,0,0,407,0,0,0,7,2008,NA,NA,NA,180500
160,FV,24,2645,Pave,Reg,Lvl,AllPub,Gtl,8,5,1999,456,Gd,TA,649,321,970,Ex,Y,1739,1,0,2,1,3,1,Gd,7,Typ,0,NA,1999,2,480,Y,115,0,0,0,0,0,0,8,2009,NA,NA,NA,172500
60,RL,89,11645,Pave,IR1,Lvl,AllPub,Gtl,7,5,2004,0,Gd,TA,0,860,860,Ex,Y,1720,0,0,2,1,3,1,Gd,7,Typ,0,NA,2004,2,565,Y,0,70,0,0,0,0,0,8,2006,NA,NA,NA,196500
60,RL,66,13682,Pave,IR2,HLS,AllPub,Gtl,10,5,2006,1031,Ex,TA,0,1410,1410,Ex,Y,2945,0,0,3,1,3,1,Gd,10,Typ,1,Gd,2006,3,641,Y,192,0,37,0,0,0,0,10,2006,NA,NA,NA,438780
20,RL,60,7200,Pave,Reg,Bnk,AllPub,Gtl,5,7,1972,0,TA,TA,632,148,780,Ex,Y,780,0,0,1,0,2,1,TA,4,Typ,0,NA,1973,1,352,Y,196,0,0,0,0,0,0,1,2008,NA,MnPrv,NA,124900
20,RL,63,13072,Pave,Reg,Lvl,AllPub,Gtl,6,5,2004,0,TA,TA,941,217,1158,Ex,Y,1158,1,0,1,1,3,1,Gd,5,Typ,0,NA,2006,2,576,Y,0,50,0,0,0,0,0,5,2006,NA,NA,NA,158000
75,RM,60,7200,Pave,Reg,Lvl,AllPub,Gtl,5,7,1920,0,TA,TA,0,530,530,TA,N,1111,0,0,1,0,3,1,Fa,6,Typ,0,NA,1935,1,288,N,0,0,144,0,0,0,0,3,2007,NA,NA,NA,101000
120,RL,44,6442,Pave,IR1,Lvl,AllPub,Gtl,8,5,2006,178,Gd,TA,24,1346,1370,Ex,Y,1370,0,0,2,0,2,1,Gd,6,Typ,1,Gd,2006,2,484,Y,120,49,0,0,0,0,0,10,2007,NA,NA,NA,202500
70,RM,50,10300,Pave,IR1,Bnk,AllPub,Gtl,7,6,1921,0,TA,TA,0,576,576,Gd,Y,1710,0,0,2,0,3,1,TA,9,Typ,0,NA,1990,2,480,Y,12,11,64,0,0,0,0,4,2010,NA,GdPrv,NA,140000
60,RL,NA,9375,Pave,Reg,Lvl,AllPub,Gtl,7,5,1997,573,TA,TA,739,318,1057,Ex,Y,2034,1,0,2,1,3,1,Gd,8,Typ,0,NA,1998,2,645,Y,576,36,0,0,0,0,0,2,2009,NA,GdPrv,NA,219500
60,RL,76,9591,Pave,Reg,Lvl,AllPub,Gtl,8,5,2004,344,Gd,TA,0,1143,1143,Ex,Y,2473,0,0,2,1,4,1,Gd,9,Typ,1,Gd,2004,3,852,Y,192,151,0,0,0,0,0,10,2007,NA,NA,NA,317000
20,RL,NA,19900,Pave,Reg,Lvl,AllPub,Gtl,7,5,1970,287,TA,TA,912,1035,1947,TA,Y,2207,1,0,2,0,3,1,TA,7,Min1,1,Gd,1970,2,576,Y,301,0,0,0,0,0,0,7,2010,NA,NA,NA,180000
20,RL,72,10665,Pave,IR1,Lvl,AllPub,Gtl,7,5,2003,167,Gd,TA,1013,440,1453,Ex,Y,1479,1,0,2,0,3,1,Gd,7,Typ,0,NA,2003,2,558,Y,144,29,0,0,0,0,0,6,2007,NA,NA,NA,226000
30,RM,47,4608,Pave,Reg,Lvl,AllPub,Gtl,4,6,1945,0,TA,Gd,0,747,747,TA,Y,747,0,0,1,0,2,1,TA,4,Typ,0,NA,1945,1,220,Y,0,0,0,0,0,0,0,6,2010,NA,NA,NA,80000
50,RL,81,15593,Pave,Reg,Lvl,AllPub,Gtl,7,4,1953,0,Gd,TA,603,701,1304,TA,Y,2287,0,0,2,0,3,1,TA,7,Typ,1,TA,1953,2,667,Y,0,21,114,0,0,0,0,7,2006,NA,NA,NA,225000
20,RL,95,13651,Pave,IR1,Lvl,AllPub,Gtl,7,6,1973,1115,TA,Gd,1880,343,2223,Ex,Y,2223,1,0,2,0,3,1,TA,8,Typ,2,Gd,1973,2,516,Y,300,0,0,0,0,0,0,2,2007,NA,NA,NA,244000
20,RL,69,7599,Pave,Reg,Lvl,AllPub,Gtl,4,6,1982,0,TA,TA,565,280,845,TA,Y,845,1,0,1,0,2,1,TA,4,Typ,0,NA,1987,2,360,Y,0,0,0,0,0,0,0,6,2007,NA,NA,NA,129500
60,RL,74,10141,Pave,IR1,Lvl,AllPub,Gtl,7,5,1998,40,TA,TA,0,832,832,Gd,Y,1718,0,0,2,1,3,1,TA,7,Typ,1,TA,1998,2,427,Y,0,94,0,0,291,0,0,12,2009,NA,NA,NA,185000
20,RL,85,10200,Pave,Reg,Lvl,AllPub,Gtl,5,7,1954,104,TA,TA,320,404,1086,Gd,Y,1086,1,0,1,0,3,1,TA,6,Typ,0,NA,1989,2,490,Y,0,0,0,0,0,0,0,5,2010,NA,GdWo,NA,144900
50,RM,60,5790,Pave,Reg,Lvl,AllPub,Gtl,3,6,1915,0,Gd,Gd,0,840,840,Gd,N,1605,0,0,2,0,3,2,TA,8,Typ,0,NA,1915,1,379,Y,0,0,202,0,0,0,0,5,2010,NA,NA,NA,107400
180,RM,21,1596,Pave,Reg,Lvl,AllPub,Gtl,4,5,1973,0,TA,TA,462,0,462,TA,Y,988,1,0,1,0,2,1,TA,5,Typ,0,NA,1973,1,297,Y,120,101,0,0,0,0,0,11,2009,NA,GdWo,NA,91000
20,RL,NA,8475,Pave,IR1,Lvl,AllPub,Gtl,4,7,1956,0,TA,TA,228,724,952,Ex,Y,952,0,0,1,0,2,1,TA,4,Typ,0,NA,1956,1,283,Y,0,0,0,0,0,0,0,4,2008,NA,NA,NA,135750
50,RM,50,8635,Pave,Reg,Lvl,AllPub,Gtl,5,5,1948,0,TA,TA,336,295,672,TA,Y,1285,1,0,1,0,2,1,TA,6,Min1,0,NA,1948,1,240,Y,0,0,0,0,0,0,0,1,2008,NA,MnPrv,NA,127000
90,RL,72,10778,Pave,Reg,Lvl,AllPub,Gtl,4,5,1968,0,TA,TA,0,1768,1768,TA,N,1768,0,0,2,0,4,2,TA,8,Typ,0,NA,NA,0,0,Y,0,0,0,0,0,0,0,4,2010,NA,NA,NA,136500
50,RM,60,10440,Pave,Reg,Lvl,AllPub,Gtl,5,6,1910,0,TA,TA,0,440,440,Gd,Y,1230,0,0,1,1,2,1,TA,5,Typ,0,NA,1966,2,440,Y,74,0,128,0,0,0,0,5,2009,NA,MnPrv,NA,110000
60,RL,100,13000,Pave,Reg,Lvl,AllPub,Gtl,6,6,1968,576,TA,Gd,448,448,896,TA,Y,2142,0,0,2,1,4,1,Gd,8,Typ,1,Gd,1968,1,509,Y,0,72,0,0,252,0,0,6,2009,NA,NA,NA,193500
120,RM,32,4500,Pave,Reg,Lvl,AllPub,Gtl,6,5,1998,443,TA,Gd,1201,36,1237,Ex,Y,1337,1,0,2,0,2,1,TA,5,Typ,0,NA,1998,2,405,Y,0,199,0,0,0,0,0,3,2006,NA,NA,NA,153500
20,RL,78,10206,Pave,Reg,Lvl,AllPub,Gtl,8,5,2007,468,TA,TA,33,1530,1563,Ex,Y,1563,0,0,2,0,3,1,Gd,6,Typ,1,Gd,2007,3,758,Y,144,99,0,0,0,0,0,10,2008,NA,NA,NA,245000
20,RL,80,8892,Pave,IR1,Lvl,AllPub,Gtl,5,5,1960,66,TA,TA,0,1065,1065,Gd,Y,1065,0,0,1,1,3,1,TA,6,Typ,0,NA,1974,2,461,Y,74,0,0,0,0,0,0,7,2007,NA,NA,NA,126500
80,RL,NA,8530,Pave,IR1,Lvl,AllPub,Gtl,7,5,1995,22,TA,TA,0,384,384,Gd,Y,1474,0,0,2,1,3,1,TA,7,Typ,1,TA,1995,2,400,Y,120,72,0,0,0,0,700,5,2009,NA,NA,Shed,168500
60,RL,121,16059,Pave,Reg,Lvl,AllPub,Gtl,8,5,1991,284,Gd,TA,0,1288,1288,Ex,Y,2417,0,0,2,1,4,1,Gd,9,Typ,1,TA,1991,2,462,Y,127,82,0,0,0,0,0,4,2006,NA,NA,NA,260000
60,RL,122,11911,Pave,IR2,Lvl,AllPub,Gtl,6,5,2005,0,Gd,TA,0,684,684,Ex,Y,1560,0,0,2,1,3,1,Gd,6,Typ,1,Gd,2005,2,400,Y,100,38,0,0,0,0,0,3,2009,NA,NA,NA,174000
160,FV,40,3951,Pave,Reg,Lvl,AllPub,Gtl,6,5,2009,76,Gd,TA,0,612,612,Ex,Y,1224,0,0,2,1,2,1,Gd,4,Typ,0,NA,2009,2,528,Y,0,234,0,0,0,0,0,6,2009,NA,NA,NA,164500
50,C (all),105,8470,Pave,IR1,Lvl,AllPub,Gtl,3,2,1915,0,Fa,Fa,0,1013,1013,TA,N,1526,0,0,1,0,2,1,Fa,6,Typ,0,NA,NA,0,0,N,0,0,156,0,0,0,0,10,2009,NA,MnPrv,NA,85000
20,RL,60,8070,Pave,Reg,Lvl,AllPub,Gtl,4,5,1994,0,TA,TA,588,402,990,Ex,Y,990,1,0,1,0,3,1,TA,5,Typ,0,NA,NA,0,0,Y,0,0,0,0,0,0,0,8,2007,NA,NA,NA,123600
20,RL,60,7200,Pave,Reg,Lvl,AllPub,Gtl,4,5,1950,0,TA,TA,0,0,0,TA,Y,1040,0,0,1,0,2,1,TA,4,Typ,0,NA,1950,2,420,Y,0,29,0,0,0,0,0,7,2006,NA,NA,NA,109900
20,RL,85,8500,Pave,Reg,Lvl,AllPub,Gtl,5,3,1961,203,TA,TA,600,635,1235,TA,Y,1235,0,0,1,0,2,1,TA,6,Typ,0,NA,1961,2,480,Y,0,0,0,0,0,0,0,12,2006,NA,GdWo,NA,98600
30,RL,80,13360,Pave,IR1,HLS,AllPub,Gtl,5,7,1921,0,TA,Gd,713,163,876,Ex,Y,964,1,0,1,0,2,1,TA,5,Typ,0,NA,1921,2,432,Y,0,0,44,0,0,0,0,8,2009,NA,NA,NA,163500
190,C (all),60,7200,Pave,Reg,Lvl,AllPub,Gtl,6,6,1910,0,TA,TA,1046,168,1214,Ex,N,2291,0,1,2,0,4,2,TA,9,Typ,1,Gd,1900,2,506,Y,0,0,0,0,99,0,0,11,2007,NA,NA,NA,133900
60,RL,69,9337,Pave,IR1,Lvl,AllPub,Gtl,6,5,1997,0,TA,Gd,648,176,824,Ex,Y,1786,1,0,2,1,3,1,Gd,7,Typ,0,NA,1997,2,684,Y,0,162,0,0,0,0,0,5,2007,NA,NA,NA,204750
60,RL,NA,9765,Pave,IR2,Lvl,AllPub,Gtl,6,8,1993,68,Ex,Gd,310,370,680,Gd,Y,1470,0,0,2,1,3,1,TA,6,Typ,1,TA,1993,2,420,Y,232,63,0,0,0,0,480,4,2009,NA,NA,Shed,185000
20,RL,78,10264,Pave,IR1,Lvl,AllPub,Gtl,7,5,1999,183,Gd,TA,1162,426,1588,Ex,Y,1588,0,0,2,0,3,1,Gd,6,Typ,0,NA,1999,2,472,Y,158,29,0,0,0,0,0,8,2006,NA,NA,NA,214000
20,RL,73,10921,Pave,Reg,HLS,AllPub,Gtl,4,5,1965,48,TA,TA,520,440,960,TA,Y,960,1,0,1,0,3,1,TA,6,Typ,0,NA,1965,1,432,P,120,0,0,0,0,0,0,5,2007,NA,NA,NA,94750
30,RL,85,10625,Pave,Reg,Lvl,AllPub,Gtl,5,5,1920,0,TA,TA,108,350,458,Fa,N,835,0,0,1,0,2,1,TA,5,Typ,0,NA,1920,1,366,Y,0,0,77,0,0,0,400,5,2010,NA,NA,Shed,83000
20,RL,77,9320,Pave,IR1,Lvl,AllPub,Gtl,4,5,1959,0,TA,TA,569,381,950,Fa,Y,1225,1,0,1,1,3,1,TA,6,Typ,0,NA,NA,0,0,Y,352,0,0,0,0,0,400,1,2010,NA,NA,Shed,128950
20,RL,NA,10603,Pave,IR1,Lvl,AllPub,Gtl,6,7,1977,28,TA,TA,1200,410,1610,Gd,Y,1610,1,0,2,0,3,1,Gd,6,Typ,2,TA,1977,2,480,Y,168,68,0,0,0,0,0,2,2010,NA,NA,NA,205000
60,RL,77,9206,Pave,Reg,Lvl,AllPub,Gtl,6,5,1985,336,Gd,TA,0,741,741,TA,Y,1732,0,0,2,1,3,1,Gd,7,Typ,1,TA,1985,2,476,Y,192,46,0,0,0,0,0,6,2010,NA,NA,NA,178000
